t,id,iq,Vdc,Idc,P_ac,Q_ac
0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.001,-0.01,0.0,1.0,0.0,0.0,0.0
0.002,-0.019999,0.0031415926535897937,0.9985,-0.015,-0.015,0.0
0.003,-0.029010039659891063,0.009424149642238661,0.9954956434651978,-0.03004356534802203,-0.029998499999999997,-0.004712388980384691
0.004,-0.03604645472768629,0.018536979974860666,0.991124448093778,-0.043711953714198115,-0.0435150594898366,-0.014136224463357994
0.005,-0.040219286071337186,0.029859454012908813,0.9856690603071563,-0.05455387786621674,-0.05406968209152944,-0.027805469962291
0.006,-0.04083464000601439,0.04249172943294144,0.9795484533472294,-0.0612060695992689,-0.06032892910700578,-0.04478918101936322
0.007,-0.037481386039528386,0.055316060765486015,0.9732953721648012,-0.0625308118242815,-0.06125196000902158,-0.06373759414941216
0.008,-0.03009958488828669,0.06708565386222401,0.9675189058764386,-0.05776466288362552,-0.05622207905929258,-0.08297409114822903
0.009000000000000001,-0.01902099519631479,0.07653500877295216,0.9628523947562728,-0.04666511120165753,-0.04514937733243003,-0.10062848079333601
0.010000000000000002,-0.004974910966441468,0.08250297714934579,0.9598891687260053,-0.029632260302675337,-0.028531492794472185,-0.11480251315942824
0.011000000000000003,0.01094466121582231,0.08405764122607444,0.959111749134995,-0.007774195910103334,-0.007462366449662201,-0.12375446572401869
0.012000000000000004,0.027351053565092927,0.08061086873478618,0.9608234362078037,0.017116870728087357,0.016416991823733462,-0.12608646183911165
0.013000000000000005,0.04267296976140596,0.072010220753109,0.9650933758035284,0.042699395957246714,0.04102658034763939,-0.12091630310217927
0.014000000000000005,0.05529138051456447,0.05859691090010446,0.971725838137944,0.06632462334415593,0.06400945464210894,-0.10801533112966351
0.015000000000000006,0.0636946138571954,0.04122075172587509,0.9802608659736527,0.0853502783570865,0.0829370707718467,-0.08789536635015668
0.016000000000000007,0.06663812547555548,0.02120637655400213,0.9900074471238545,0.09746581150201815,0.0955419207857931,-0.06183112758881264
0.017000000000000008,0.06329364134213912,0.0002692713720467421,1.0001040568517636,0.1009660972790926,0.09995718821333321,-0.031809564831003195
0.01800000000000001,0.053371906074429314,-0.01961503942103161,1.0095971152353156,0.09493058383551868,0.09494046201320869,-0.0004039070580701132
0.01900000000000001,0.037204322509323165,-0.03638035672024066,1.0175267990570631,0.07929683821747469,0.08005785911164397,0.029422559131547413
0.02000000000000001,0.01577137593634382,-0.04806480131227614,1.0230113213139413,0.0548452225687818,0.05580648376398475,0.05457053508036099
0.02100000000000001,-0.009330203871139791,-0.05301471871000697,1.0253238141878356,0.02312492873894194,0.023657063904515725,0.07209720196841421
0.022000000000000013,-0.03598433593390141,-0.05007824724432919,1.023958849713876,-0.013649644739594236,-0.013995305806709685,0.07952207806501047
0.023000000000000013,-0.0617132828650518,-0.038768426878179565,1.0186874949210605,-0.05271354792815622,-0.05397650390085211,0.07511737086649378
0.024000000000000014,-0.0838865720439375,-0.019376750427716187,1.0096003190443457,-0.09087175876714879,-0.09256992429757771,0.05815264031726935
0.025000000000000015,-0.09996556906614872,0.0069789310941330875,0.9971369852188361,-0.12463333825509548,-0.12582985806590624,0.02906512564157428
0.026000000000000016,-0.10776307664371831,0.03838334294003726,0.9820990961602616,-0.15037889058574508,-0.14994835359922307,-0.01046839664119963
0.027000000000000017,-0.10569381751599007,0.07223427359695718,0.9656400020018856,-0.16459094158376036,-0.16164461496557747,-0.057575014410055886
0.028000000000000018,-0.09299018180727889,0.10543174223340694,0.9492217999860918,-0.16418202015793823,-0.1585407262739851,-0.10835141039543578
0.02900000000000002,-0.06985852410353376,0.13463492626135626,0.9345271024229973,-0.14694697563094536,-0.13948527271091832,-0.1581476133501104
0.03000000000000002,-0.03755472872519537,0.15656816538015883,0.9233141813762334,-0.1121292104676385,-0.10478778615530063,-0.2019523893920344
0.03100000000000002,0.0016363665621110315,0.16835067455068395,0.9172131061166909,-0.06101075259542534,-0.05633209308779306,-0.23485224807023825
0.03200000000000002,0.044525127164986314,0.16781975976621807,0.9174807156642212,0.002676095475301961,0.002454549843166544,-0.2525260118260259
